geo,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Kenya,21.1,18.3,17.6,22.4,19,24.6,24.3,22.8,23.1,22.7,24.8,26.9,29.1,26.2,32.6,34.4
Kiribati,138,144,156,128,164,157,171,180,206,227,216,216,270,258,249,212
Kuwait,873,799,866,1020,802,535,815,801,851,795,758,763,722,823,1430,910
Kyrgyz Republic,39.4,33.5,33.7,42.2,36,27.3,27.8,30.8,32.1,39.1,42,55.2,66.5,62.1,78.4,78.8
Lao,22.4,25.7,37.5,29.5,13.1,14,14.2,14.1,17.3,11.8,9.21,9.72,9.38,23.1,26.1,32.3
Latvia,210,206,228,263,278,261,278,320,344,432,472,650,727,742,657,668
Lebanon,213,234,251,237,226,246,278,310,286,332,353,342,378,400,404,384
Lesotho,30.1,32.5,27.7,30.5,30.2,34.8,45.8,40.8,45.1,44.9,40,54,77.1,89.1,104,130
Liberia,,,,4.25,5.28,5.66,6.67,4.58,3.58,4.21,5.41,6.97,10.8,15.9,17.1,16
Libya,111,104,99.7,137,196,214,289,342,338,275,245,237,312,362,478,490
Lithuania,247,262,305,370,372,390,437,509,596,500,565,695,830,941,949,955
Luxembourg,2000,2110,2120,2270,2570,3410,3360,4070,3920,4520,4610,5180,5070,5110,5540,5690
"Macedonia, FYR",248,261,289,353,297,299,292,332,350,365,394,447,419,507,508,504
Madagascar,10.7,13.4,15.2,14.4,15.1,19.8,22.3,18.7,17.8,19.7,21.3,24.2,26.6,31.9,26.2,21.9
Malawi,9.49,6.89,9.01,10.8,13.3,16.4,12.4,16.4,27.1,35.8,39.1,43.2,36.8,36.2,42.2,39.3
Malaysia,129,144,137,139,152,166,198,207,261,241,214,271,277,294,350,356
Maldives,76.1,81.4,88.4,96,109,127,126,131,168,205,274,325,334,431,277,281
Mali,16.5,18.6,16.5,15,13.7,15.3,24.7,18.6,21.8,26.3,25.6,27.6,27.1,26.1,26.8,25.9
Malta,592,612,696,740,767,904,916,1090,1150,1210,1350,1430,1360,1360,1390,1480
Marshall Islands,269,336,345,238,229,293,261,256,236,260,257,284,310,279,329,314
Mauritania,32.5,22.5,23.2,33.5,48.8,48.4,36.7,49.3,44.4,53.2,47.9,44.3,49,48.6,41.6,42
Mauritius,116,119,127,138,137,159,168,187,197,228,223,227,217,221,265,335
Mexico,163,153,182,200,225,237,247,256,278,311,329,351,382,418,445,
"Micronesia, Fed. Sts.",212,196,169,158,180,200,227,212,265,287,345,346,349,364,384,411
Moldova,74,83,78.5,55.5,35.7,47.4,51.3,70.9,76,88.7,98.6,121,134,162,173,165
Monaco,2010,1990,2170,2180,2440,2460,2600,2700,3260,3540,3690,3810,3940,4780,5220,5240
Mongolia,40.2,51.4,54.4,58.6,63.7,73.6,78.1,81.4,79,85.9,76,81,106,125,119,120
Montenegro,312,297,305,326,302,328,390,400,475,477,497,579,665,772,866,776
Morocco,26.7,29.3,26.9,28.6,29.3,32.1,40.5,40.6,44.2,48.3,51,67.2,77.1,83.9,93.4,93.4
Mozambique,11.1,9.04,11.3,12.4,15.9,19.3,19.8,24.2,23.3,21.6,28.8,29,27.8,24.5,34.6,34.9
Myanmar,1.9,1.56,1.3,0.968,1.1,1.9,1.85,3.09,2.77,3.54,2.55,4.59,4.06,4.45,4.03,4.19
Namibia,156,171,183,187,197,168,140,151,164,160,186,177,227,232,246,254
Nauru,909,779,723,702,668,407,407,403,394,270,287,219,326,290,176,181
Nepal,5.36,5.79,7.5,8.86,7.55,9.06,12.6,12.9,12.4,15.8,18.1,21.7,18.8,24.4,25.5,21.8
Netherlands,1280,1230,1300,1320,1370,1480,1600,1770,1900,1980,2090,2800,2970,3180,3860,3990
New Zealand,956,969,1040,1120,1180,1250,1300,1430,1440,1570,1690,1900,2010,2230,2410,2510
